ProductId,Category,MainCategory,TaxTarifCode,SupplierName,WeightMeasure,WeightUnit,Description,Name,ProductPicUrl,Status,Quantity,UoM,CurrencyCode,Price,Width,Depth,Height,DimUnit,Rating
"HT-1000","Laptops","Computer Systems","1","Very Best Screens",4.2,"KG","Notebook Basic 15 with 2,80 GHz quad core, 15"" LCD, 4 GB DDR3 RAM, 500 GB Hard Disc, Windows 8 Pro","Notebook Basic 15","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1000.jpg","In Stock",10,"PC","EUR",956,30,18,3,"cm",4
"HT-1003","Laptops","Computer Systems","1","Smartcards",4.2,"KG","Notebook Basic 19 with 2,80 GHz quad core, 19"" LCD, 8 GB DDR3 RAM, 1000 GB Hard Disc, Windows 8 Pro","Notebook Basic 19","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1003.jpg","In Stock",15,"PC","EUR",1650,32,21,4,"cm",5
"HT-1007","Accessories","Computer Components","1","Technocom",0.2,"KG","Digital Organizer with State-of-the-Art Storage Encryption","ITelO Vault","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1007.jpg","Not in Stock",15,"PC","EUR",299,32,22,3,"cm",2
"HT-1010","Accessories","Computer Systems","1","Very Best Screens",4.3,"KG","Notebook Professional 15 with 2,80 GHz quad core, 15"" Multitouch LCD, 8 GB DDR3 RAM, 500 GB SSD - DVD-Writer (DVD-R/+R/-RW/-RAM),Windows 8 Pro","Notebook Professional 15","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1010.jpg","Not in Stock",16,"PC","EUR",1999,33,20,3,"cm",1
"HT-1011","Laptops","Computer Systems","1","Very Best Screens",4.1,"KG","Notebook Professional 17 with 2,80 GHz quad core, 17"" Multitouch LCD, 8 GB DDR3 RAM, 500 GB SSD - DVD-Writer (DVD-R/+R/-RW/-RAM),Windows 8 Pro","Notebook Professional 17","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1011.jpg","In Stock",17,"PC","EUR",2299,33,23,2,"cm",3
"HT-1020","Accessories","Computer Components","1","Technocom",0.16,"KG","Digital Organizer with State-of-the-Art Encryption for Storage and Network Communications","ITelO Vault Net","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1020.jpg","Not in Stock",14,"PC","EUR",459,10,1.8,17,"cm",4
"HT-1021","Accessories","Computer Components","1","Technocom",0.18,"KG","Digital Organizer with State-of-the-Art Encryption for Storage and Secure Stellite Link","ITelO Vault SAT","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1021.jpg","In Stock",50,"PC","EUR",149,11,1.7,18,"cm",5
"HT-1022","Accessories","Computer Components","1","Technocom",0.2,"KG","32 GB Digital Assistant with high-resolution color screen","Comfort Easy","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1022.jpg","In Stock",30,"PC","EUR",1679,84,1.5,14,"cm",2
"HT-1023","Accessories","Computer Components","1","Technocom",0.8,"KG","64 GB Digital Assistant with high-resolution color screen and synthesized voice output","Comfort Senior","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1023.jpg","In Stock",24,"PC","EUR",512,80,1.6,13,"cm",4
"HT-1030","Flat Screen Monitors","Computer Components","1","Very Best Screens",21,"KG","Optimum Hi-Resolution max. 1920 x 1080 @ 85Hz, Dot Pitch: 0.27mm","Ergo Screen E-I","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1030.jpg","In Stock",14,"PC","EUR",230,37,12,36,"cm",4
"HT-1031","Flat Screen Monitors","Computer Components","1","Very Best Screens",21,"KG","Optimum Hi-Resolution max. 1920 x 1200 @ 85Hz, Dot Pitch: 0.26mm","Ergo Screen E-II","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1031.jpg","In Stock",24,"PC","EUR",285,40.8,19,43,"cm",4
"HT-1032","Flat Screen Monitors","Computer Components","1","Very Best Screens",21,"KG","Optimum Hi-Resolution max. 2560 x 1440 @ 85Hz, Dot Pitch: 0.25mm","Ergo Screen E-III","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1032.jpg","In Stock",50,"PC","EUR",345,40.8,19,43,"cm",4
"HT-1035","Flat Screen Monitors","Computer Components","1","Very Best Screens",14,"KG","Optimum Hi-Resolution max. 1600 x 1200 @ 85Hz, Dot Pitch: 0.24mm","Flat Basic","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1035.jpg","In Stock",23,"PC","EUR",399,39,20,41,"cm",4
"HT-1036","Flat Screen Monitors","Computer Components","1","Very Best Screens",15,"KG","Optimum Hi-Resolution max. 2048 x 1080 @ 85Hz, Dot Pitch: 0.26mm","Flat Future","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1036.jpg","In Stock",22,"PC","EUR",430,45,26,46,"cm",4
"HT-1037","Flat Screen Monitors","Computer Components","1","Very Best Screens",17,"KG","Optimum Hi-Resolution max. 2016 x 1512 @ 85Hz, Dot Pitch: 0.24mm","Flat XL","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1037.jpg","In Stock",23,"PC","EUR",1230,54.5,22.1,39.1,"cm",4
"HT-1040","Printers","Printers & Scanners","1","Alpha Printers",32,"KG","Print 2400 dpi image quality color documents at speeds of up to 32 ppm (color) or 36 ppm (monochrome), letter/A4. Powerful 500 MHz processor, 512MB of memory","Laser Professional Eco","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1040.jpg","In Stock",21,"PC","EUR",830,51,46,30,"cm",4
"HT-1041","Printers","Printers & Scanners","1","Alpha Printers",23,"KG","Up to 22 ppm color or 24 ppm monochrome A4/letter, powerful 500 MHz processor and 128MB of memory","Laser Basic","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1041.jpg","In Stock",8,"PC","EUR",490,48,42,26,"cm",4
"HT-1042","Printers","Printers & Scanners","1","Alpha Printers",17,"KG","Print up to 25 ppm letter and 24 ppm A4 color or monochrome, with Available first-page-out-time of less than 13 seconds for monochrome and less than 15 seconds for color","Laser Allround","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1042.jpg","In Stock",9,"PC","EUR",349,53,50,65,"cm",4
"HT-1050","Printers","Printers & Scanners","1","Alpha Printers",3,"KG","4800 dpi x 1200 dpi - up to 35 ppm (mono) / up to 34 ppm (color) - capacity: 250 sheets - Hi-Speed USB, Ethernet","Ultra Jet Super Color","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1050.jpg","In Stock",17,"PC","EUR",139,41,41,28,"cm",4
"HT-1051","Printers","Printers & Scanners","1","Printer for All",1.9,"KG","1000 dpi x 1000 dpi - up to 35 ppm (mono) / up to 34 ppm (color) - capacity: 250 sheets - Hi-Speed USB - excellent dimensions for the small office","Ultra Jet Mobile","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1051.jpg","In Stock",18,"PC","EUR",99,46,32,25,"cm",4
"HT-1052","Printers","Printers & Scanners","1","Printer for All",18,"KG","4800 dpi x 1200 dpi - up to 35 ppm (mono) / up to 34 ppm (color) - capacity: 250 sheets - Hi-Speed USB2.0, Ethernet","Ultra Jet Super Highspeed","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1052.jpg","In Stock",25,"PC","EUR",170,41,41,28,"cm",4
"HT-1055","Multifunction Printers","Printers & Scanners","1","Printer for All",6.3,"KG","1000 dpi x 1000 dpi - up to 16 ppm (mono) / up to 15 ppm (color)- capacity 80 sheets - scanner (216 x 297 mm, 1200dpi x 2400dpi)","Multi Print","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1055.jpg","In Stock",16,"PC","EUR",99,55,45,29,"cm",4
"HT-1056","Multifunction Printers","Printers & Scanners","1","Printer for All",4.3,"KG","1200 dpi x 1200 dpi - up to 25 ppm (mono) / up to 24 ppm (color)- capacity 80 sheets - scanner (216 x 297 mm, 2400dpi x 4800dpi, high resolution)","Multi Color","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1056.jpg","In Stock",5,"PC","EUR",119,51,41.3,22,"cm",4
"HT-1060","Mice","Computer Components","1","Oxynum",0.09,"KG","Cordless Optical USB Mice, Laptop, Color: Black, Plug&Play","Cordless Mouse","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1060.jpg","In Stock",25,"PC","EUR",9,6,14.5,3.5,"cm",4
"HT-1061","Mice","Computer Components","1","Oxynum",0.09,"KG","Optical USB, PS/2 Mouse, Color: Blue, 3-button-functionality (incl. Scroll wheel)","Speed Mouse","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1061.jpg","In Stock",12,"PC","EUR",7,7,15,3.1,"cm",4
"HT-1062","Mice","Computer Components","1","Oxynum",0.03,"KG","Optical USB Mouse, Color: Red, 5-button-functionality(incl. Scroll wheel), Plug&Play","Track Mouse","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1062.jpg","In Stock",12,"PC","EUR",11,3,7,4,"cm",4
"HT-1063","Keyboards","Computer Components","1","Oxynum",2.1,"KG","Ergonomic USB Keyboard for Desktop, Plug&Play","Ergonomic Keyboard","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1063.jpg","In Stock",50,"PC","EUR",14,50,21,3.5,"cm",4
"HT-1064","Keyboards","Computer Components","1","Oxynum",1.8,"KG","Corded Keyboard with special keys for Internet Usability, USB","Internet Keyboard","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1064.jpg","In Stock",35,"PC","EUR",16,52,25,3,"cm",4
"HT-1065","Keyboards","Computer Components","1","Oxynum",2.3,"KG","Corded Ergonomic Keyboard with special keys for Media Usability, USB","Media Keyboard","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1065.jpg","In Stock",26,"PC","EUR",26,51.4,23,4,"cm",4
"HT-1066","Mousepads","Computer Components","1","Oxynum",80,"G","Nice mouse pad with ITelO Logo","Mousepad","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1066.jpg","In Stock",12,"PC","EUR",6.99,15,6,0.2,"cm",4
"HT-1067","Mousepads","Computer Components","1","Oxynum",80,"G","Ergonomic mouse pad with ITelO Logo","Ergo Mousepad","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1067.jpg","In Stock",16,"PC","EUR",8.99,15,6,0.2,"cm",4
"HT-1068","Mousepads","Computer Components","1","Fasttech",90,"G","ITelO Mousepad Special Edition","Designer Mousepad","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1068.jpg","In Stock",26,"PC","EUR",12.99,24,24,0.6,"cm",4
"HT-1069","Computer System Accessories","Computer Systems","1","Fasttech",45,"G","Universal card reader","Universal card reader","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1069.jpg","In Stock",22,"PC","EUR",14,6,6,3,"cm",4
"HT-1070","Graphic Cards","Computer Components","1","Ultrasonic United",0.255,"KG","Proctra X: PCI-E GDDR5 3072MB","Proctra X","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1070.jpg","In Stock",15,"PC","EUR",70.9,22,35,17,"cm",4
"HT-1071","Graphic Cards","Computer Components","1","Ultrasonic United",0.3,"KG","Gladiator XLN: PCI-E GDDR5 3072MB DVI Out, TV Out low-noise","Gladiator MX","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1071.jpg","In Stock",16,"PC","EUR",81.7,22,35,17,"cm",4
"HT-1072","Graphic Cards","Computer Components","1","Ultrasonic United",0.4,"KG","Hurricane GX: PCI-E 691 GFLOPS game-optimized","Hurricane GX","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1072.jpg","In Stock",13,"PC","EUR",101.2,22,35,17,"cm",4
"HT-1073","Graphic Cards","Computer Components","1","Smartcards",0.4,"KG","Hurricane GX/LN: PCI-E 691 GFLOPS game-optimized, low-noise.","Hurricane GX/LN","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1073.jpg","In Stock",5,"PC","EUR",139.99,22,35,17,"cm",4
"HT-1080","Scanners","Printers & Scanners","1","Printer for All",2.3,"KG","Flatbed scanner - 9.600 × 9.600 dpi - 216 x 297 mm - Hi-Speed USB - Bluetooth","Photo Scan","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1080.jpg","In Stock",8,"PC","EUR",129,34,48,5,"cm",4
"HT-1081","Scanners","Printers & Scanners","1","Printer for All",2.4,"KG","Flatbed scanner - 9.600 × 9.600 dpi - 216 x 297 mm - SCSI for backward compatibility","Power Scan","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1081.jpg","In Stock",11,"PC","EUR",89,31,43,7,"cm",4
"HT-1082","Scanners","Printers & Scanners","1","Printer for All",3.2,"KG","Flatbed scanner - Letter - 2400 dpi x 2400 dpi - 216 x 297 mm - add-on module","Jet Scan Professional","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1082.jpg","In Stock",13,"PC","EUR",169,33,41,12,"cm",4
"HT-1083","Scanners","Printers & Scanners","1","Printer for All",3.2,"KG","Flatbed scanner - A4 - 2400 dpi x 2400 dpi - 216 x 297 mm - add-on module","Jet Scan Professional","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1083.jpg","In Stock",10,"PC","EUR",189,35,40,10,"cm",4
"HT-1085","Multifunction Printers","Printers & Scanners","1","Alpha Printers",23.2,"KG","Copymaster","Copymaster","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1085.jpg","In Stock",10,"PC","EUR",1499,45,42,22,"cm",4
"HT-1090","Speakers","Computer Components","1","Speaker Experts",3,"KG","PC multimedia speakers - 5 Watt (Total)","Surround Sound","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1090.jpg","In Stock",20,"PC","EUR",39,12,10,16,"cm",4
"HT-1091","Speakers","Computer Components","1","Speaker Experts",1.4,"KG","PC multimedia speakers - 10 Watt (Total) - 2-way","Blaster Extreme","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1091.jpg","In Stock",15,"PC","EUR",26,13,11,17.5,"cm",4
"HT-1092","Speakers","Computer Components","1","Speaker Experts",2.1,"KG","PC multimedia speakers - optimized for Blutooth/A2DP","Sound Booster","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1092.jpg","In Stock",50,"PC","EUR",45,12.4,10.4,18.1,"cm",4
"HT-1100","Software","Software","1","Technocom",1.2,"KG","Complete package, 1 User, Office Applications (word processing, spreadsheet, presentations)","Smart Office","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1100.jpg","In Stock",25,"PC","EUR",89.9,15,6.5,2.1,"cm",4
"HT-1101","Software","Software","1","Technocom",0.8,"KG","Complete package, 1 User, Image editing, processing","Smart Design","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1101.jpg","In Stock",26,"PC","EUR",79.9,14,6.7,24,"cm",4
"HT-1102","Software","Software","1","Technocom",0.8,"KG","Complete package, 1 User, Network Software Utilities, Useful Applications and Documentation","Smart Network","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1102.jpg","In Stock",28,"PC","EUR",69,16,6,27,"cm",4
"HT-1103","Software","Software","1","Technocom",0.8,"KG","Complete package, 1 User, different Multimedia applications, playing music, watching DVDs, only with this Smart package","Smart Multimedia","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1103.jpg","In Stock",9,"PC","EUR",77,11,3.4,22,"cm",4
"HT-1104","Software","Software","1","Technocom",1.1,"KG","Complete package, 1 User, various games for amusement, logic, action, jump&run","Smart Games","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1104.jpg","In Stock",13,"PC","EUR",55,10,3,30,"cm",4
"HT-1105","Software","Software","1","Brainsoft",0.7,"KG","Complete package, 1 User, highly recommended for internet users as anti-virus protection","Smart Internet Antivirus","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1105.jpg","In Stock",17,"PC","EUR",29,16,4,21,"cm",4
"HT-1106","Software","Software","1","Brainsoft",0.9,"KG","Complete package, 1 User, recommended for internet users, protect your PC against cyber-crime","Smart Firewall","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1106.jpg","In Stock",19,"PC","EUR",34,17.9,4.2,23.1,"cm",4
"HT-1107","Software","Software","1","Brainsoft",0.5,"KG","Complete package, 1 User, bring your money in your mind, see what you have and what you want","Smart Money","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1107.jpg","In Stock",18,"PC","EUR",29.9,12,1.5,19,"cm",4
"HT-1110","Computer System Accessories","Computer Systems","1","Red Point Stores",0.03,"KG","Robust 3m anti-burglary protection for your laptop computer","PC Lock","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1110.jpg","In Stock",14,"PC","EUR",8.9,20,8,4.3,"cm",4
"HT-1111","Computer System Accessories","Computer Systems","1","Red Point Stores",0.02,"KG","Robust 1m anti-burglary protection for your desktop computer","Notebook Lock","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1111.jpg","In Stock",20,"PC","EUR",6.9,31,9,7,"cm",4
"HT-1112","Computer System Accessories","Computer Systems","1","Red Point Stores",0.075,"KG","Color webcam, color, High-Speed USB","Web cam reality","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1112.jpg","In Stock",27,"PC","EUR",39,9,8.2,1.3,"cm",4
"HT-1113","Computer System Accessories","Computer Systems","1","Red Point Stores",0.05,"KG","10 separately packed screen wipes","Screen clean","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1113.jpg","In Stock",17,"PC","EUR",2.3,2,2,0.1,"cm",4
"HT-1114","Computer System Accessories","Computer Systems","1","Red Point Stores",1.8,"KG","Notebook bag, plenty of room for stationery and writing materials","Fabric bag professional","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1114.jpg","In Stock",14,"PC","EUR",31,42,32,7,"cm",4
"HT-1115","Telecommunications","Computer Components","1","Red Point Stores",0.45,"KG","Wireless DSL Router (available in blue, black and silver)","Wireless DSL Router","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1115.jpg","In Stock",16,"PC","EUR",49,19.3,18,5,"cm",4
"HT-1116","Telecommunications","Computer Components","1","Red Point Stores",0.45,"KG","Wireless DSL Router / Repeater (available in blue, black and silver)","Wireless DSL Router / Repeater","https://sdk.openui5.org/test-resources/sap/ui/documentation/sdk/images/HT-1116.jpg","In Stock",12,"PC","EUR",59,19.3,18,5,"cm",4
